epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
54,2393.14,1.48379,1.47355,1.09795,1.0562,0,0.74161,0.80563,0.80343,0.40067,0.75736,0.79795,0.79001,0.27333,1.57367,1.44669,1.10158,1.12485,0,0.00196311,0.00196311,0.00196311
55,2430.4,1.52462,1.4958,1.10193,1.0583,0,0.73763,0.77193,0.78358,0.38977,0.72622,0.75787,0.75994,0.24552,1.54338,1.45557,1.11487,1.13195,0,0.00196196,0.00196196,0.00196196
56,2467.38,1.5026,1.50999,1.11294,1.05678,0,0.69225,0.6817,0.68206,0.31791,0.7226,0.69424,0.71666,0.23078,1.66098,1.52643,1.26052,1.17685,0,0.00196068,0.00196068,0.00196068
57,2504.2,1.49571,1.50651,1.1047,1.06217,0,0.74919,0.77109,0.80138,0.38355,0.73645,0.75638,0.78126,0.27008,1.58158,1.46988,1.1757,1.13717,0,0.00195951,0.00195951,0.00195951
58,2541.36,1.51386,1.47624,1.07041,1.0529,0,0.68283,0.76441,0.75694,0.36766,0.7258,0.72973,0.73315,0.24582,1.59459,1.46662,1.24345,1.14116,0,0.00195833,0.00195833,0.00195833
59,2595.51,1.48023,1.52102,1.09623,1.04667,0,0.76076,0.75714,0.79805,0.38982,0.7692,0.75188,0.77706,0.24478,1.58443,1.47196,1.10213,1.13677,0,0.00195714,0.00195714,0.00195714
60,2632.39,1.49354,1.53809,1.09536,1.05887,0,0.73703,0.7619,0.78959,0.40307,0.75828,0.7594,0.78292,0.26652,1.56706,1.48295,1.07777,1.12653,0,0.00195523,0.00195523,0.00195523
61,2669.51,1.52375,1.49632,1.10176,1.05686,0,0.74479,0.75336,0.78766,0.38625,0.74009,0.73505,0.7405,0.238,1.57503,1.47294,1.14675,1.13364,0,0.00195401,0.00195401,0.00195401
62,2717.59,1.45905,1.46364,1.0619,1.03755,0,0.74194,0.78544,0.7965,0.39557,0.75801,0.75366,0.77572,0.25628,1.57714,1.44928,1.07305,1.13088,0,0.00195263,0.00195263,0.00195263
63,2765.86,1.47954,1.47273,1.07317,1.05175,0,0.74499,0.76692,0.78188,0.38102,0.74836,0.76942,0.75716,0.2554,1.55984,1.4639,1.32482,1.12313,0,0.00195092,0.00195092,0.00195092
64,2804.81,1.50349,1.49482,1.10063,1.05697,0,0.77777,0.7619,0.8139,0.39942,0.77047,0.7619,0.78917,0.25774,1.56623,1.47335,1.07058,1.14244,0,0.00194917,0.00194917,0.00194917
65,2844.48,1.45574,1.47417,1.0504,1.04366,0,0.72223,0.74939,0.78461,0.3975,0.75107,0.7619,0.79717,0.27408,1.5405,1.4664,1.19323,1.11718,0,0.0019479,0.0019479,0.0019479
66,2908.04,1.48098,1.44108,1.03369,1.04113,0,0.73736,0.81203,0.81322,0.41304,0.73742,0.80702,0.78428,0.2633,1.55089,1.44975,1.06845,1.13547,0,0.00194627,0.00194627,0.00194627
67,2945.18,1.49168,1.47733,1.06136,1.04648,0,0.69883,0.79449,0.78569,0.3996,0.71051,0.7689,0.76608,0.27527,1.56476,1.4347,1.13099,1.13597,0,0.0019439,0.0019439,0.0019439
68,2982.28,1.48699,1.47828,1.10436,1.05215,0,0.77168,0.73697,0.80262,0.42004,0.75814,0.71679,0.76604,0.26284,1.49791,1.45622,1.0902,1.11185,0,0.00194258,0.00194258,0.00194258
69,3023.81,1.46204,1.45928,1.05768,1.04324,0,0.7686,0.75754,0.79364,0.3991,0.76867,0.75689,0.78425,0.26003,1.56379,1.46171,1.07856,1.12486,0,0.00194106,0.00194106,0.00194106
70,3060.92,1.44812,1.43589,1.02413,1.03617,0,0.70641,0.81409,0.8154,0.42518,0.73174,0.79198,0.8138,0.28008,1.51174,1.42999,1.09468,1.11394,0,0.00193953,0.00193953,0.00193953
71,3140.38,1.46088,1.45695,1.04396,1.04565,0,0.7503,0.81955,0.81892,0.41019,0.76616,0.78009,0.80426,0.27515,1.58242,1.43788,1.02671,1.14769,0,0.00193798,0.00193798,0.00193798
72,3177.26,1.45976,1.47357,1.02772,1.0396,0,0.75033,0.73815,0.7867,0.39294,0.78732,0.74225,0.77479,0.23907,1.57365,1.49386,1.12077,1.14654,0,0.00193476,0.00193476,0.00193476
73,3214.86,1.47223,1.45792,1.03583,1.04038,0,0.77717,0.79546,0.79984,0.4037,0.7817,0.78195,0.797,0.27624,1.57243,1.44527,1.04085,1.13182,0,0.00193315,0.00193315,0.00193315
74,3252.46,1.44522,1.45096,1.01136,1.03358,0,0.74692,0.78195,0.80973,0.4087,0.76005,0.78591,0.79822,0.26753,1.5601,1.46255,1.07746,1.13531,0,0.00193174,0.00193174,0.00193174
75,3321.81,1.46831,1.44096,1.01025,1.04449,0,0.7421,0.78195,0.79544,0.40463,0.76095,0.78947,0.79277,0.2801,1.54427,1.43667,1.08878,1.13298,0,0.00193011,0.00193011,0.00193011
76,3365.61,1.46606,1.43383,1.04384,1.03936,0,0.73709,0.82206,0.81639,0.39799,0.74882,0.81704,0.79598,0.2629,1.57462,1.44869,1.09214,1.13154,0,0.00192706,0.00192706,0.00192706
77,3413.2,1.47195,1.45578,1.02251,1.03992,0,0.71876,0.77504,0.78999,0.39726,0.71556,0.74185,0.75241,0.24466,1.59294,1.4479,1.06189,1.12674,0,0.00192513,0.00192513,0.00192513
78,3480.73,1.46702,1.46127,1.01001,1.02712,0,0.7385,0.80689,0.80768,0.40873,0.74073,0.78763,0.79547,0.25979,1.53702,1.44523,1.07868,1.10133,0,0.00192317,0.00192317,0.00192317
79,3547.08,1.44446,1.46224,0.99736,1.0292,0,0.79702,0.80451,0.82321,0.40794,0.79538,0.77444,0.79437,0.26678,1.58172,1.45154,1.04334,1.14081,0,0.0019199,0.0019199,0.0019199
80,3583.41,1.45343,1.45574,1.00906,1.05108,0,0.74319,0.78195,0.79176,0.39711,0.73585,0.761,0.75152,0.25594,1.55464,1.44433,1.08968,1.12816,0,0.00191705,0.00191705,0.00191705
81,3632.93,1.4562,1.42474,1.01362,1.03673,0,0.75294,0.79449,0.7936,0.39901,0.74973,0.79585,0.77761,0.24907,1.55453,1.43494,1.10693,1.13055,0,0.00191525,0.00191525,0.00191525
82,3670.16,1.43698,1.44651,1.00874,1.03358,0,0.74726,0.7929,0.80401,0.40013,0.73955,0.78281,0.77185,0.26345,1.57174,1.45453,1.03491,1.13572,0,0.00191286,0.00191286,0.00191286
83,3761.68,1.45975,1.46483,1.0024,1.03415,0,0.76431,0.78024,0.8197,0.4117,0.7612,0.78195,0.81109,0.27484,1.55616,1.40764,1.00211,1.12381,0,0.00191131,0.00191131,0.00191131
84,3822.83,1.43886,1.42772,1.02452,1.03646,0,0.74888,0.77945,0.79486,0.39839,0.76646,0.78446,0.79374,0.26033,1.57517,1.46718,1.12805,1.14568,0,0.00190675,0.00190675,0.00190675
85,3859.38,1.4653,1.49224,1.02622,1.03807,0,0.75723,0.75188,0.78539,0.39845,0.75379,0.74687,0.757,0.23741,1.58659,1.49541,1.1312,1.14014,0,0.0019039,0.0019039,0.0019039
86,3895.94,1.43886,1.45831,0.99124,1.02216,0,0.75638,0.79699,0.8137,0.41216,0.7719,0.77193,0.79111,0.27372,1.55646,1.43242,1.00534,1.1419,0,0.00190196,0.00190196,0.00190196
87,3932.72,1.45447,1.45215,0.98591,1.03363,0,0.7422,0.77207,0.80358,0.40461,0.74943,0.77959,0.78885,0.27075,1.54604,1.41871,1.13104,1.13097,0,0.00190001,0.00190001,0.00190001
88,3978.24,1.44012,1.42276,0.99103,1.03911,0,0.78524,0.76692,0.82387,0.42644,0.75354,0.80461,0.80977,0.27081,1.55291,1.43023,1.01053,1.12069,0,0.00189838,0.00189838,0.00189838
89,4014.88,1.45879,1.4009,0.9816,1.03535,0,0.73573,0.81203,0.80788,0.40826,0.72716,0.78151,0.77303,0.25402,1.53347,1.41881,1.07761,1.12102,0,0.00189608,0.00189608,0.00189608
90,4051.49,1.42549,1.43089,0.99771,1.01893,0,0.76831,0.78957,0.79496,0.38813,0.74503,0.7543,0.74359,0.24808,1.58604,1.43416,1.12239,1.12908,0,0.00189409,0.00189409,0.00189409
91,4121.36,1.43172,1.44302,0.98394,1.02489,0,0.75955,0.80755,0.81507,0.40954,0.75603,0.79221,0.78689,0.27765,1.57572,1.43595,1.01271,1.13746,0,0.0018921,0.0018921,0.0018921
92,4158.04,1.45666,1.43976,1.00218,1.04043,0,0.72767,0.80451,0.78964,0.39517,0.73718,0.76942,0.78264,0.26933,1.56828,1.43961,1.10106,1.14468,0,0.00188864,0.00188864,0.00188864
93,4194.76,1.43391,1.44146,0.99968,1.021,0,0.76378,0.7594,0.79922,0.39352,0.76747,0.72682,0.75996,0.24685,1.54398,1.43684,1.05033,1.11465,0,0.0018866,0.0018866,0.0018866
94,4231.46,1.41634,1.41755,0.97992,1.02475,0,0.77051,0.79939,0.81548,0.39248,0.75311,0.77979,0.77914,0.27502,1.61146,1.42902,1.01792,1.15089,0,0.00188455,0.00188455,0.00188455
95,4268.21,1.42582,1.43358,0.96628,1.02578,0,0.73867,0.80758,0.8046,0.40203,0.80122,0.76776,0.80297,0.26896,1.57028,1.43316,1.02771,1.14966,0,0.00188249,0.00188249,0.00188249
96,4304.79,1.4344,1.47703,0.99101,1.03761,0,0.76121,0.78697,0.81063,0.39828,0.75198,0.77694,0.77463,0.25162,1.57292,1.45111,1.06917,1.13926,0,0.00188042,0.00188042,0.00188042
97,4341.45,1.41063,1.42313,0.95312,1.02084,0,0.72267,0.79677,0.78592,0.37771,0.72354,0.79366,0.78058,0.25937,1.64662,1.43274,1.1275,1.17539,0,0.00187873,0.00187873,0.00187873
98,4407.49,1.43183,1.44608,0.98842,1.03147,0,0.75457,0.80908,0.82387,0.41758,0.72886,0.78151,0.78232,0.27422,1.54834,1.4321,1.05114,1.11421,0,0.00187665,0.00187665,0.00187665
99,4444.13,1.41035,1.48528,0.96044,1.02098,0,0.75298,0.76398,0.78842,0.38361,0.73984,0.75689,0.76302,0.25904,1.62944,1.45295,1.11149,1.16658,0,0.00187292,0.00187292,0.00187292
100,4480.8,1.4009,1.39994,0.94552,1.01387,0,0.73625,0.81704,0.81346,0.40113,0.71943,0.79699,0.78124,0.24194,1.61378,1.45727,1.09186,1.16324,0,0.00187079,0.00187079,0.00187079
101,4518.08,1.39481,1.41015,0.93502,1.01107,0,0.78378,0.77945,0.82296,0.40371,0.78271,0.73935,0.77889,0.25793,1.62384,1.43774,0.99437,1.16508,0,0.00186865,0.00186865,0.00186865
102,4554.81,1.45446,1.42241,0.96419,1.0399,0,0.79402,0.78255,0.83202,0.40298,0.77453,0.78345,0.80226,0.26169,1.55856,1.43925,1.03836,1.14869,0,0.00186651,0.00186651,0.00186651
103,4591.41,1.43002,1.43751,0.96768,1.02352,0,0.78458,0.78697,0.81024,0.40944,0.76759,0.77694,0.77243,0.25334,1.58764,1.44307,1.0278,1.13936,0,0.00186435,0.00186435,0.00186435
104,4701.41,1.41565,1.42179,0.96306,1.02533,0,0.73137,0.77694,0.77694,0.39044,0.74886,0.78947,0.77438,0.26287,1.58249,1.43844,1.02694,1.1482,0,0.00186219,0.00186219,0.00186219
105,4738.05,1.40761,1.41214,0.94903,1.01341,0,0.76117,0.8307,0.81103,0.40687,0.74509,0.81316,0.76098,0.23887,1.55407,1.46819,1.01157,1.14029,0,0.00185588,0.00185588,0.00185588
